Дата: 2016/05/26 16:17:00 Наименование: 'Приборы Dmitrienko D.S. часть 1' Позиций добавлено: 182\192 Статус: ОБРАБОТАНО И ПЕРЕМЕЩЕНО В АРХИВ
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('184', '31.01', '19', 'pH 300', '15081-00', '12', '65341', '01.12.2005', '201', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('185', '31.01', '19', 'pH 500', '15081-00', '12', '65341', '01.12.2005', '201', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('186', '31.01', '19', 'InoLab pH', '15081-00', '12', '65341', '01.12.2005', '201', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('187', '31.01', '19', 'pH-100', '15081-95', '12', '65343', '01.01.2001', '201', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('188', '31.01', '19', 'pH-300', '15081-95', '12', '65343', '01.01.2001', '201', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('189', '31.01', '19', 'pH-500', '15081-95', '12', '65343', '01.01.2001', '201', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('190', '31.01', '19', 'pH-3000', '15081-95', '12', '65343', '01.01.2001', '201', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('203', '31.01', '20', 'P901', '21388-01', '12', '10174', '0', '496', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('204', '31.01', '20', 'PC-310', '41713-09', '12', '37206', '0', '191', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('205', '31.01', '20', 'ORION SA 520', '18817-99', '12', '72470', '0', '496', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('206', '31.01', '22', 'Scientific Inst.9600', '18954-99', '12', '72714', '0', '496', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('207', '31.01', '29', 'E-532', '19435-00', '12', '6828', '0', '496', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('208', '31.01', '29', '340-A-Set', '20490-00', '12', '8664', '0', '496', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('209', '31.01', '29', 'Level', '20493-00', '12', '8667', '0', '496', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('210', '31.01', '29', 'pH-meter 440', '22046-01', '12', '11300', '0', '496', '0', '0', null);
